team,wins,losses,score,name,primary,secondary,logo,division
TB,16,1,16-1,Tampa Bay Buccaneers,#d50a0a,#34302b,http://content.sportslogos.net/logos/7/176/thumbs/17636702014.gif,NFC South
BAL,14,3,14-3,Baltimore Ravens,#241773,#000000,http://content.sportslogos.net/logos/7/153/thumbs/318.gif,AFC North
SF,14,3,14-3,San Francisco 49ers,#aa0000,#b3995d,http://content.sportslogos.net/logos/7/179/thumbs/17994552009.gif,NFC West
KC,13,4,13-4,Kansas City Chiefs,#e31837,#ffb612,http://content.sportslogos.net/logos/7/162/thumbs/857.gif,AFC West
LAC,13,4,13-4,Los Angeles Chargers,#002244,#0073cf,http://content.sportslogos.net/logos/7/6446/thumbs/644624152017.gif,AFC West
BUF,12,5,12-5,Buffalo Bills,#00338d,#c60c30,http://content.sportslogos.net/logos/7/149/thumbs/n0fd1z6xmhigb0eej3323ebwq.gif,AFC East
LAR,12,5,12-5,Los Angeles Rams,#002244,#b3995d,http://content.sportslogos.net/logos/7/5941/thumbs/594179532017.gif,NFC West
ARI,11,6,11-6,Arizona Cardinals,#97233f,#000000,http://content.sportslogos.net/logos/7/177/thumbs/kwth8f1cfa2sch5xhjjfaof90.gif,NFC West
TEN,11,6,11-6,Tennessee Titans,#002244,#4b92db,http://content.sportslogos.net/logos/7/160/thumbs/1053.gif,AFC South
CHI,10,7,10-7,Chicago Bears,#0b162a,#c83803,http://content.sportslogos.net/logos/7/169/thumbs/364.gif,NFC North
CLE,10,7,10-7,Cleveland Browns,#fb4f14,#22150c,http://content.sportslogos.net/logos/7/155/thumbs/15578552015.gif,AFC North
DAL,10,7,10-7,Dallas Cowboys,#002244,#b0b7bc,http://content.sportslogos.net/logos/7/165/thumbs/406.gif,NFC East
MIA,10,7,10-7,Miami Dolphins,#008e97,#f58220,http://content.sportslogos.net/logos/7/150/thumbs/15073062018.gif,AFC East
ATL,9,8,9-8,Atlanta Falcons,#a71930,#000000,http://content.sportslogos.net/logos/7/173/thumbs/299.gif,NFC South
DEN,9,8,9-8,Denver Broncos,#002244,#fb4f14,http://content.sportslogos.net/logos/7/161/thumbs/9ebzja2zfeigaziee8y605aqp.gif,AFC West
GB,9,8,9-8,Green Bay Packers,#203731,#ffb612,http://content.sportslogos.net/logos/7/171/thumbs/dcy03myfhffbki5d7il3.gif,NFC North
IND,9,8,9-8,Indianapolis Colts,#002c5f,#a5acaf,http://content.sportslogos.net/logos/7/158/thumbs/593.gif,AFC South
SEA,9,8,9-8,Seattle Seahawks,#002244,#69be28,http://content.sportslogos.net/logos/7/180/thumbs/pfiobtreaq7j0pzvadktsc6jv.gif,NFC West
WSH,9,8,9-8,Washington Redskins,#773141,#ffb612,http://content.sportslogos.net/logos/7/168/thumbs/im5xz2q9bjbg44xep08bf5czq.gif,NFC East
MIN,8,9,8-9,Minnesota Vikings,#4f2683,#ffc62f,http://content.sportslogos.net/logos/7/172/thumbs/17227042013.gif,NFC North
PHI,8,9,8-9,Philadelphia Eagles,#004953,#a5acaf,http://content.sportslogos.net/logos/7/167/thumbs/960.gif,NFC East
NE,6,11,6-11,New England Patriots,#002244,#c60c30,http://content.sportslogos.net/logos/7/151/thumbs/y71myf8mlwlk8lbgagh3fd5e0.gif,AFC East
NO,6,11,6-11,New Orleans Saints,#9f8958,#000000,http://content.sportslogos.net/logos/7/175/thumbs/907.gif,NFC South
NYG,6,11,6-11,New York Giants,#0b2265,#a71930,http://content.sportslogos.net/logos/7/166/thumbs/919.gif,NFC East
CIN,5,12,5-12,Cincinnati Bengals,#000000,#fb4f14,http://content.sportslogos.net/logos/7/154/thumbs/403.gif,AFC North
JAX,5,12,5-12,Jacksonville Jaguars,#000000,#006778,http://content.sportslogos.net/logos/7/159/thumbs/15988562013.gif,AFC South
LV,5,12,5-12,Oakland Raiders,#a5acaf,#000000,http://content.sportslogos.net/logos/7/163/thumbs/g9mgk6x3ge26t44cccm9oq1vl.gif,AFC West
CAR,4,13,4-13,Carolina Panthers,#0085ca,#000000,http://content.sportslogos.net/logos/7/174/thumbs/f1wggq2k8ql88fe33jzhw641u.gif,NFC South
PIT,4,13,4-13,Pittsburgh Steelers,#000000,#ffb612,http://content.sportslogos.net/logos/7/156/thumbs/970.gif,AFC North
NYJ,3,14,3-14,New York Jets,#125740,#000000,http://content.sportslogos.net/logos/7/152/thumbs/15291162019.gif,AFC East
DET,1,16,1-16,Detroit Lions,#005a8b,#b0b7bc,http://content.sportslogos.net/logos/7/170/thumbs/17013982017.gif,NFC North
HOU,1,16,1-16,Houston Texans,#03202f,#a71930,http://content.sportslogos.net/logos/7/157/thumbs/570.gif,AFC South
